from_node,to_node,dependency_type,strength,lead_time_days
SUP_A,WH_B,supply,0.95,5
SUP_A,WH_C,supply,0.97,5
SUP_B,WH_A,supply,0.99,7
SUP_B,WH_B,supply,0.76,4
SUP_C,WH_A,supply,0.74,6
SUP_C,WH_C,supply,0.91,7
SUP_D,WH_B,supply,0.83,6
SUP_D,WH_A,supply,0.78,3
WH_A,PROD_C,inventory,0.87,1
WH_A,PROD_D,inventory,0.63,3
WH_B,PROD_C,inventory,0.85,1
WH_B,PROD_B,inventory,0.66,1
WH_C,PROD_D,inventory,0.6,1
WH_C,PROD_C,inventory,0.87,1
PROD_A,STORE_H,distribution,0.99,3
PROD_A,STORE_G,distribution,0.98,2
PROD_A,STORE_E,distribution,0.75,2
PROD_B,STORE_E,distribution,0.98,2
PROD_B,STORE_G,distribution,0.81,5
PROD_B,STORE_F,distribution,0.97,4
PROD_C,STORE_A,distribution,0.84,2
PROD_C,STORE_D,distribution,0.71,1
PROD_C,STORE_B,distribution,0.81,1
PROD_D,STORE_B,distribution,0.74,3
PROD_D,STORE_E,distribution,0.76,2
PROD_D,STORE_G,distribution,0.87,3
STORE_A,CUST_007,retail,0.99,0
STORE_A,CUST_003,retail,0.83,0
STORE_A,CUST_002,retail,0.95,0
STORE_B,CUST_015,retail,0.81,0
STORE_B,CUST_010,retail,0.84,0
STORE_B,CUST_014,retail,0.94,0
STORE_C,CUST_001,retail,0.87,0
STORE_C,CUST_009,retail,0.97,0
STORE_D,CUST_008,retail,0.93,0
STORE_D,CUST_012,retail,0.97,0
STORE_D,CUST_003,retail,0.83,0
STORE_E,CUST_004,retail,0.93,0
STORE_E,CUST_008,retail,0.92,0
STORE_E,CUST_002,retail,0.91,0
STORE_F,CUST_009,retail,0.88,0
STORE_F,CUST_006,retail,0.82,0
STORE_F,CUST_002,retail,0.85,0
STORE_F,CUST_011,retail,0.88,0
STORE_G,CUST_004,retail,0.99,0
STORE_G,CUST_001,retail,0.99,0
STORE_G,CUST_002,retail,0.86,0
STORE_G,CUST_013,retail,0.91,0
STORE_H,CUST_003,retail,0.8,0
STORE_H,CUST_013,retail,0.87,0
STORE_H,CUST_006,retail,0.86,0
STORE_H,CUST_014,retail,0.98,0
