failure_id,node_id,date,failure_type,duration_hours,impact_score,resolved
FAIL_001,CUST_008,2025-10-23,external,47,0.36,True
FAIL_002,STORE_H,2026-03-29,quality_issue,51,0.6,True
FAIL_003,PROD_B,2026-08-05,logistics,35,0.48,True
FAIL_004,CUST_012,2026-09-15,quality_issue,15,0.66,True
FAIL_005,WH_B,2026-01-01,quality_issue,7,0.58,False
FAIL_006,SUP_B,2025-12-12,equipment,20,0.86,False
FAIL_007,STORE_H,2026-01-12,external,4,0.49,True
FAIL_008,CUST_007,2026-02-18,external,48,0.72,True
FAIL_009,STORE_F,2026-08-01,external,42,0.47,True
FAIL_010,CUST_015,2026-02-02,quality_issue,3,0.38,True
FAIL_011,SUP_D,2026-07-13,external,55,0.72,True
FAIL_012,CUST_012,2026-05-14,supply_delay,18,0.73,True
FAIL_013,CUST_013,2025-10-21,external,23,0.72,True
FAIL_014,PROD_A,2026-03-16,quality_issue,48,0.31,True
FAIL_015,CUST_010,2026-01-16,quality_issue,23,0.47,True
FAIL_016,PROD_A,2025-12-14,equipment,47,0.54,False
FAIL_017,STORE_A,2026-01-17,supply_delay,25,0.38,True
FAIL_018,STORE_B,2026-06-13,quality_issue,40,0.54,True
FAIL_019,WH_B,2025-10-05,quality_issue,18,0.44,False
FAIL_020,CUST_008,2026-05-12,external,72,0.36,True
