node_id,type,name,capacity,location,reliability
SUP_A,supplier,Supplier A,115,Mumbai,0.86
SUP_B,supplier,Supplier B,112,Delhi,0.98
SUP_C,supplier,Supplier C,143,Mumbai,0.91
SUP_D,supplier,Supplier D,117,Delhi,0.85
WH_A,warehouse,Warehouse A,209,Mumbai,0.97
WH_B,warehouse,Warehouse B,224,Pune,0.97
WH_C,warehouse,Warehouse C,180,Pune,0.99
PROD_A,production,Production A,170,Ahmedabad,0.95
PROD_B,production,Production B,171,Mumbai,0.93
PROD_C,production,Production C,136,Mumbai,0.94
PROD_D,production,Production D,199,Ahmedabad,0.91
STORE_A,store,Store A,52,Bangalore,0.94
STORE_B,store,Store B,71,Chennai,0.96
STORE_C,store,Store C,74,Delhi,0.94
STORE_D,store,Store D,60,Kolkata,0.94
STORE_E,store,Store E,54,Delhi,0.98
STORE_F,store,Store F,80,Mumbai,0.96
STORE_G,store,Store G,72,Mumbai,0.92
STORE_H,store,Store H,72,Mumbai,0.95
CUST_001,customer,Customer 1,0,Bangalore,1.0
CUST_002,customer,Customer 2,0,Mumbai,1.0
CUST_003,customer,Customer 3,0,Bangalore,1.0
CUST_004,customer,Customer 4,0,Hyderabad,1.0
CUST_005,customer,Customer 5,0,Pune,1.0
CUST_006,customer,Customer 6,0,Bangalore,1.0
CUST_007,customer,Customer 7,0,Delhi,1.0
CUST_008,customer,Customer 8,0,Mumbai,1.0
CUST_009,customer,Customer 9,0,Delhi,1.0
CUST_010,customer,Customer 10,0,Pune,1.0
CUST_011,customer,Customer 11,0,Hyderabad,1.0
CUST_012,customer,Customer 12,0,Hyderabad,1.0
CUST_013,customer,Customer 13,0,Pune,1.0
CUST_014,customer,Customer 14,0,Pune,1.0
CUST_015,customer,Customer 15,0,Delhi,1.0
